timestamp,PP,timestamphrv,PPhrv
20120918T135700000,PP1,20120918T140100000,PP1
20120918T135800000,PP1,20120918T140200000,PP1
20120918T135900000,PP1,20120918T140300000,PP1
20120918T140000000,PP1,20120918T140400000,PP1
20120918T140100000,PP1,20120918T140500000,PP1
20120918T140200000,PP1,20120918T140600000,PP1
20120918T140300000,PP1,20120918T140700000,PP1
20120918T140400000,PP1,20120918T142800000,PP1
20120918T140500000,PP1,20120918T142900000,PP1
20120918T140600000,PP1,20120918T143000000,PP1
20120918T140700000,PP1,20120918T143100000,PP1
20120918T140800000,PP1,20120918T143200000,PP1
20120918T140900000,PP1,20120918T143300000,PP1
20120918T141000000,PP1,20120918T143600000,PP1
20120918T141100000,PP1,20120918T143700000,PP1
20120918T141200000,PP1,20120918T143800000,PP1
20120918T142600000,PP1,20120918T143900000,PP1
20120918T142700000,PP1,20120918T144000000,PP1
20120918T142800000,PP1,20120918T144100000,PP1
20120918T142900000,PP1,20120918T144200000,PP1
20120918T143000000,PP1,20120918T144300000,PP1
20120918T143100000,PP1,20120918T144400000,PP1
20120918T143200000,PP1,20120918T144500000,PP1
20120918T143300000,PP1,20120918T144600000,PP1
20120918T143400000,PP1,20120918T144700000,PP1
20120918T143500000,PP1,20120918T144800000,PP1
20120918T143600000,PP1,20120918T144900000,PP1
20120918T143700000,PP1,20120918T145000000,PP1
20120918T143800000,PP1,20120918T145100000,PP1
20120918T143900000,PP1,20120918T145200000,PP1
20120918T144000000,PP1,20120918T145300000,PP1
20120918T144100000,PP1,20120918T145400000,PP1
20120918T144200000,PP1,20120918T145500000,PP1
20120918T144300000,PP1,20120918T145600000,PP1
20120918T144400000,PP1,20120918T145700000,PP1
20120918T144500000,PP1,20120918T145800000,PP1
20120918T144600000,PP1,20120918T145900000,PP1
20120918T144700000,PP1,20120918T150000000,PP1
20120918T144800000,PP1,20120918T150100000,PP1
20120918T144900000,PP1,20120918T150200000,PP1
20120918T145000000,PP1,20120918T152300000,PP1
20120918T145100000,PP1,20120918T152400000,PP1
20120918T145200000,PP1,20120918T152500000,PP1
20120918T145300000,PP1,20120918T152600000,PP1
20120918T145400000,PP1,20120918T152700000,PP1
20120918T145500000,PP1,20120918T152800000,PP1
20120918T145600000,PP1,20120918T153300000,PP1
20120918T145700000,PP1,20120918T153400000,PP1
20120918T145800000,PP1,20120918T153500000,PP1
20120918T145900000,PP1,20120918T153600000,PP1
20120918T150000000,PP1,20120918T153700000,PP1
20120918T150100000,PP1,20120918T153800000,PP1
20120918T150200000,PP1,20120918T153900000,PP1
20120918T150300000,PP1,20120918T154000000,PP1
20120918T150400000,PP1,20120918T154100000,PP1
20120918T150500000,PP1,20120918T154200000,PP1
20120918T152100000,PP1,20120918T154300000,PP1
20120918T152200000,PP1,20120918T154400000,PP1
20120918T152300000,PP1,20120918T154500000,PP1
20120918T152400000,PP1,20120918T154600000,PP1
20120918T152500000,PP1,20120918T154700000,PP1
20120918T152600000,PP1,20120918T154800000,PP1
20120918T152700000,PP1,20120918T154900000,PP1
20120918T152800000,PP1,20120918T155000000,PP1
20120918T152900000,PP1,20120918T155100000,PP1
20120918T153000000,PP1,20120918T155200000,PP1
20120918T153100000,PP1,20120918T155300000,PP1
20120918T153200000,PP1,20120918T155400000,PP1
20120918T153300000,PP1,20120918T155500000,PP1
20120918T153400000,PP1,20120918T155600000,PP1
20120918T153500000,PP1,20120918T155700000,PP1
20120918T153600000,PP1,20120918T155800000,PP1
20120918T153700000,PP1,20120918T155900000,PP1
20120918T153800000,PP1,20120918T160000000,PP1
20120918T153900000,PP1,20120918T160100000,PP1
20120918T154000000,PP1,20120918T160200000,PP1
20120918T154100000,PP1,20120918T160300000,PP1
20120918T154200000,PP1,20120918T160400000,PP1
20120918T154300000,PP1,20120918T160500000,PP1
20120918T154400000,PP1,20120918T160600000,PP1
20120918T154500000,PP1,20120918T160700000,PP1
20120918T154600000,PP1,20120918T160800000,PP1
20120918T154700000,PP1,20120918T160900000,PP1
20120918T154800000,PP1,20120918T161000000,PP1
20120918T154900000,PP1,20120918T161100000,PP1
20120918T155000000,PP1,20120918T161200000,PP1
20120918T155100000,PP1,20120918T161300000,PP1
20120918T155200000,PP1,20120918T161400000,PP1
20120918T155300000,PP1,20120919T131200000,PP2
20120918T155400000,PP1,20120919T131300000,PP2
20120918T155500000,PP1,20120919T131400000,PP2
20120918T155600000,PP1,20120919T131500000,PP2
20120918T155700000,PP1,20120919T131600000,PP2
20120918T155800000,PP1,20120919T131700000,PP2
20120918T155900000,PP1,20120919T132100000,PP2
20120918T160000000,PP1,20120919T132200000,PP2
20120918T160100000,PP1,20120919T132300000,PP2
20120918T160200000,PP1,20120919T132400000,PP2
20120918T160300000,PP1,20120919T132500000,PP2
20120918T160400000,PP1,20120919T132600000,PP2
20120918T160500000,PP1,20120919T132700000,PP2
20120918T160600000,PP1,20120919T132800000,PP2
20120918T160700000,PP1,20120919T132900000,PP2
20120918T160800000,PP1,20120919T133000000,PP2
20120918T160900000,PP1,20120919T133100000,PP2
20120918T161000000,PP1,20120919T133200000,PP2
20120918T161100000,PP1,20120919T133300000,PP2
20120918T161200000,PP1,20120919T133400000,PP2
20120918T161300000,PP1,20120919T133500000,PP2
20120918T161400000,PP1,20120919T133600000,PP2
20120918T161500000,PP1,20120919T133700000,PP2
20120918T161600000,PP1,20120919T133800000,PP2
20120918T161700000,PP1,20120919T133900000,PP2
20120919T131000000,PP2,20120919T134000000,PP2
20120919T131100000,PP2,20120919T134100000,PP2
20120919T131200000,PP2,20120919T134200000,PP2
20120919T131300000,PP2,20120919T134300000,PP2
20120919T131400000,PP2,20120919T134400000,PP2
20120919T131500000,PP2,20120919T134500000,PP2
20120919T131600000,PP2,20120919T134600000,PP2
20120919T131700000,PP2,20120919T134700000,PP2
20120919T131800000,PP2,20120919T134800000,PP2
20120919T131900000,PP2,20120919T134900000,PP2
20120919T132000000,PP2,20120919T135000000,PP2
20120919T132100000,PP2,20120919T135100000,PP2
20120919T132200000,PP2,20120919T135200000,PP2
20120919T132300000,PP2,20120919T135300000,PP2
20120919T132400000,PP2,20120919T135400000,PP2
20120919T132500000,PP2,20120919T135500000,PP2
20120919T132600000,PP2,20120919T135600000,PP2
20120919T132700000,PP2,20120919T135700000,PP2
20120919T132800000,PP2,20120919T135800000,PP2
20120919T132900000,PP2,20120919T135900000,PP2
20120919T133000000,PP2,20120919T140000000,PP2
20120919T133100000,PP2,20120919T140100000,PP2
20120919T133200000,PP2,20120919T140200000,PP2
20120919T133300000,PP2,20120919T140300000,PP2
20120919T133400000,PP2,20120919T140400000,PP2
20120919T133500000,PP2,20120919T142300000,PP2
20120919T133600000,PP2,20120919T142400000,PP2
20120919T133700000,PP2,20120919T142500000,PP2
20120919T133800000,PP2,20120919T142600000,PP2
20120919T133900000,PP2,20120919T142700000,PP2
20120919T134000000,PP2,20120919T142800000,PP2
20120919T134100000,PP2,20120919T143100000,PP2
20120919T134200000,PP2,20120919T143200000,PP2
20120919T134300000,PP2,20120919T143300000,PP2
20120919T134400000,PP2,20120919T143400000,PP2
20120919T134500000,PP2,20120919T143500000,PP2
20120919T134600000,PP2,20120919T143600000,PP2
20120919T134700000,PP2,20120919T143700000,PP2
20120919T134800000,PP2,20120919T143800000,PP2
20120919T134900000,PP2,20120919T143900000,PP2
20120919T135000000,PP2,20120919T144000000,PP2
20120919T135100000,PP2,20120919T144100000,PP2
20120919T135200000,PP2,20120919T144200000,PP2
20120919T135300000,PP2,20120919T144300000,PP2
20120919T135400000,PP2,20120919T144400000,PP2
20120919T135500000,PP2,20120919T144500000,PP2
20120919T135600000,PP2,20120919T144600000,PP2
20120919T135700000,PP2,20120919T144700000,PP2
20120919T135800000,PP2,20120919T144800000,PP2
20120919T135900000,PP2,20120919T144900000,PP2
20120919T140000000,PP2,20120919T145000000,PP2
20120919T140100000,PP2,20120919T145100000,PP2
20120919T140200000,PP2,20120919T145200000,PP2
20120919T140300000,PP2,20120919T145300000,PP2
20120919T140400000,PP2,20120919T145400000,PP2
20120919T140500000,PP2,20120919T145500000,PP2
20120919T140600000,PP2,20120919T145600000,PP2
20120919T142100000,PP2,20120919T145700000,PP2
20120919T142200000,PP2,20120919T145800000,PP2
20120919T142300000,PP2,20120919T145900000,PP2
20120919T142400000,PP2,20120919T150000000,PP2
20120919T142500000,PP2,20120919T150100000,PP2
20120919T142600000,PP2,20120919T150200000,PP2
20120919T142700000,PP2,20120919T150300000,PP2
20120919T142800000,PP2,20120919T150400000,PP2
20120919T142900000,PP2,20120919T150500000,PP2
20120919T143000000,PP2,20120919T151900000,PP2
20120919T143100000,PP2,20120919T152000000,PP2
20120919T143200000,PP2,20120919T152100000,PP2
20120919T143300000,PP2,20120919T152200000,PP2
20120919T143400000,PP2,20120919T152300000,PP2
20120919T143500000,PP2,20120919T152400000,PP2
20120919T143600000,PP2,20120919T152900000,PP2
20120919T143700000,PP2,20120919T153000000,PP2
20120919T143800000,PP2,20120919T153100000,PP2
20120919T143900000,PP2,20120919T153200000,PP2
20120919T144000000,PP2,20120919T153300000,PP2
20120919T144100000,PP2,20120919T153400000,PP2
20120919T144200000,PP2,20120919T153500000,PP2
20120919T144300000,PP2,20120919T153600000,PP2
20120919T144400000,PP2,20120919T153700000,PP2
20120919T144500000,PP2,20120919T153800000,PP2
20120919T144600000,PP2,20120919T153900000,PP2
20120919T144700000,PP2,20120919T154000000,PP2
20120919T144800000,PP2,20120919T154100000,PP2
20120919T144900000,PP2,20120919T154200000,PP2
20120919T145000000,PP2,20120919T154300000,PP2
20120919T145100000,PP2,20120919T154400000,PP2
20120919T145200000,PP2,20120919T154500000,PP2
20120919T145300000,PP2,20120919T154600000,PP2
20120919T145400000,PP2,20120919T154700000,PP2
20120919T145500000,PP2,20120919T154800000,PP2
20120919T145600000,PP2,20120919T154900000,PP2
20120919T145700000,PP2,20120919T155000000,PP2
20120919T145800000,PP2,20120919T155100000,PP2
20120919T145900000,PP2,20120919T155200000,PP2
20120919T150000000,PP2,20120924T132400000,PP3
20120919T150100000,PP2,20120924T132500000,PP3
20120919T150200000,PP2,20120924T132600000,PP3
20120919T150300000,PP2,20120924T132700000,PP3
20120919T150400000,PP2,20120924T132800000,PP3
20120919T150500000,PP2,20120924T132900000,PP3
20120919T150600000,PP2,20120924T133300000,PP3
20120919T150700000,PP2,20120924T133400000,PP3
20120919T151700000,PP2,20120924T133500000,PP3
20120919T151800000,PP2,20120924T133600000,PP3
20120919T151900000,PP2,20120924T133700000,PP3
20120919T152000000,PP2,20120924T133800000,PP3
20120919T152100000,PP2,20120924T133900000,PP3
20120919T152200000,PP2,20120924T134000000,PP3
20120919T152300000,PP2,20120924T134100000,PP3
20120919T152400000,PP2,20120924T134200000,PP3
20120919T152500000,PP2,20120924T134300000,PP3
20120919T152600000,PP2,20120924T134400000,PP3
20120919T152700000,PP2,20120924T134500000,PP3
20120919T152800000,PP2,20120924T134600000,PP3
20120919T152900000,PP2,20120924T134700000,PP3
20120919T153000000,PP2,20120924T134800000,PP3
20120919T153100000,PP2,20120924T134900000,PP3
20120919T153200000,PP2,20120924T135000000,PP3
20120919T153300000,PP2,20120924T135100000,PP3
20120919T153400000,PP2,20120924T135200000,PP3
20120919T153500000,PP2,20120924T135300000,PP3
20120919T153600000,PP2,20120924T135400000,PP3
20120919T153700000,PP2,20120924T135500000,PP3
20120919T153800000,PP2,20120924T135600000,PP3
20120919T153900000,PP2,20120924T135700000,PP3
20120919T154000000,PP2,20120924T135800000,PP3
20120919T154100000,PP2,20120924T135900000,PP3
20120919T154200000,PP2,20120924T140000000,PP3
20120919T154300000,PP2,20120924T140100000,PP3
20120919T154400000,PP2,20120924T140200000,PP3
20120919T154500000,PP2,20120924T140300000,PP3
20120919T154600000,PP2,20120924T140400000,PP3
20120919T154700000,PP2,20120924T140500000,PP3
20120919T154800000,PP2,20120924T140600000,PP3
20120919T154900000,PP2,20120924T140700000,PP3
20120919T155000000,PP2,20120924T140800000,PP3
20120919T155100000,PP2,20120924T140900000,PP3
20120919T155200000,PP2,20120924T141000000,PP3
20120919T155300000,PP2,20120924T141100000,PP3
20120919T155400000,PP2,20120924T112700000,PP3
20120924T142600000,PP3,20120924T142800000,PP3
20120924T142700000,PP3,20120924T142900000,PP3
20120924T142800000,PP3,20120924T143000000,PP3
20120924T142900000,PP3,20120924T143100000,PP3
20120924T143000000,PP3,20120924T143200000,PP3
20120924T143100000,PP3,20120924T143300000,PP3
20120924T143200000,PP3,20120924T143700000,PP3
20120924T143300000,PP3,20120924T143800000,PP3
20120924T143400000,PP3,20120924T143900000,PP3
20120924T143500000,PP3,20120924T144000000,PP3
20120924T143600000,PP3,20120924T144100000,PP3
20120924T143700000,PP3,20120924T144200000,PP3
20120924T143800000,PP3,20120924T144300000,PP3
20120924T143900000,PP3,20120924T144400000,PP3
20120924T144000000,PP3,20120924T144500000,PP3
20120924T144100000,PP3,20120924T144600000,PP3
20120924T144200000,PP3,20120924T144700000,PP3
20120924T144300000,PP3,20120924T144800000,PP3
20120924T144400000,PP3,20120924T144900000,PP3
20120924T144500000,PP3,20120924T145000000,PP3
20120924T144600000,PP3,20120924T145100000,PP3
20120924T144700000,PP3,20120924T145200000,PP3
20120924T144800000,PP3,20120924T145300000,PP3
20120924T144900000,PP3,20120924T145400000,PP3
20120924T145000000,PP3,20120924T145500000,PP3
20120924T145100000,PP3,20120924T145600000,PP3
20120924T145200000,PP3,20120924T145700000,PP3
20120924T145300000,PP3,20120924T145800000,PP3
20120924T145400000,PP3,20120924T145900000,PP3
20120924T145500000,PP3,20120924T150000000,PP3
20120924T145600000,PP3,20120924T150100000,PP3
20120924T145700000,PP3,20120924T150200000,PP3
20120924T145800000,PP3,20120924T150300000,PP3
20120924T145900000,PP3,20120924T152200000,PP3
20120924T150000000,PP3,20120924T152300000,PP3
20120924T150100000,PP3,20120924T152400000,PP3
20120924T150200000,PP3,20120924T152500000,PP3
20120924T150300000,PP3,20120924T152600000,PP3
20120924T150400000,PP3,20120924T152700000,PP3
20120924T150500000,PP3,20120924T153000000,PP3
20120924T152000000,PP3,20120924T153100000,PP3
20120924T152100000,PP3,20120924T153200000,PP3
20120924T152200000,PP3,20120924T153300000,PP3
20120924T152300000,PP3,20120924T153400000,PP3
20120924T152400000,PP3,20120924T153500000,PP3
20120924T152500000,PP3,20120924T153600000,PP3
20120924T152600000,PP3,20120924T153700000,PP3
20120924T152700000,PP3,20120924T153800000,PP3
20120924T152800000,PP3,20120924T153900000,PP3
20120924T152900000,PP3,20120924T154000000,PP3
20120924T153000000,PP3,20120924T154100000,PP3
20120924T153100000,PP3,20120924T154200000,PP3
20120924T153200000,PP3,20120924T154300000,PP3
20120924T153300000,PP3,20120924T154400000,PP3
20120924T153400000,PP3,20120924T154500000,PP3
20120924T153500000,PP3,20120924T154600000,PP3
20120924T153600000,PP3,20120924T154700000,PP3
20120924T153700000,PP3,20120924T154800000,PP3
20120924T153800000,PP3,20120924T154900000,PP3
20120924T153900000,PP3,20120924T155000000,PP3
20120924T154000000,PP3,20120924T155100000,PP3
20120924T154100000,PP3,20120924T155200000,PP3
20120924T154200000,PP3,20120924T155300000,PP3
20120924T154300000,PP3,20120924T155400000,PP3
20120924T154400000,PP3,20120924T155500000,PP3
20120924T154500000,PP3,20120924T155600000,PP3
20120924T154600000,PP3,20120924T155700000,PP3
20120924T154700000,PP3,20120924T155800000,PP3
20120924T154800000,PP3,20120924T155900000,PP3
20120924T154900000,PP3,20120924T160000000,PP3
20120924T155000000,PP3,20120924T160100000,PP3
20120924T155100000,PP3,20120924T160200000,PP3
20120924T155200000,PP3,20120924T160300000,PP3
20120924T155300000,PP3,20120924T160400000,PP3
20120924T155400000,PP3,20120924T160500000,PP3
20120924T155500000,PP3,20120924T160600000,PP3
20120924T155600000,PP3,20120924T160700000,PP3
20120924T155700000,PP3,20120924T160800000,PP3
20120924T155800000,PP3,20120924T160900000,PP3
20120924T155900000,PP3,20120924T161000000,PP3
20120924T160000000,PP3,20120924T161100000,PP3
20120924T160100000,PP3,20120924T161200000,PP3
20120924T160200000,PP3,20120925T131600000,PP4
20120924T160300000,PP3,20120925T131700000,PP4
20120924T160400000,PP3,20120925T131800000,PP4
20120924T160500000,PP3,20120925T131900000,PP4
20120924T160600000,PP3,20120925T132000000,PP4
20120924T160700000,PP3,20120925T132100000,PP4
20120924T160800000,PP3,20120925T132400000,PP4
20120924T160900000,PP3,20120925T132500000,PP4
20120924T161000000,PP3,20120925T132600000,PP4
20120924T161100000,PP3,20120925T132700000,PP4
20120924T161200000,PP3,20120925T132800000,PP4
20120924T161300000,PP3,20120925T132900000,PP4
20120924T161400000,PP3,20120925T133000000,PP4
20120925T131400000,PP4,20120925T133100000,PP4
20120925T131500000,PP4,20120925T133200000,PP4
20120925T131600000,PP4,20120925T133300000,PP4
20120925T131700000,PP4,20120925T133400000,PP4
20120925T131800000,PP4,20120925T133500000,PP4
20120925T131900000,PP4,20120925T133600000,PP4
20120925T132000000,PP4,20120925T133700000,PP4
20120925T132100000,PP4,20120925T133800000,PP4
20120925T132200000,PP4,20120925T133900000,PP4
20120925T132300000,PP4,20120925T134000000,PP4
20120925T132400000,PP4,20120925T134100000,PP4
20120925T132500000,PP4,20120925T134200000,PP4
20120925T132600000,PP4,20120925T134300000,PP4
20120925T132700000,PP4,20120925T134400000,PP4
20120925T132800000,PP4,20120925T134500000,PP4
20120925T132900000,PP4,20120925T134600000,PP4
20120925T133000000,PP4,20120925T134700000,PP4
20120925T133100000,PP4,20120925T134800000,PP4
20120925T133200000,PP4,20120925T134900000,PP4
20120925T133300000,PP4,20120925T135000000,PP4
20120925T133400000,PP4,20120925T135100000,PP4
20120925T133500000,PP4,20120925T135200000,PP4
20120925T133600000,PP4,20120925T135300000,PP4
20120925T133700000,PP4,20120925T135400000,PP4
20120925T141600000,PP4,20120925T135500000,PP4
20120925T141700000,PP4,20120925T135600000,PP4
20120925T141800000,PP4,20120925T135700000,PP4
20120925T141900000,PP4,20120925T135800000,PP4
20120925T142000000,PP4,20120925T135900000,PP4
20120925T142100000,PP4,20120925T140000000,PP4
20120925T142200000,PP4,20120925T140100000,PP4
20120925T142300000,PP4,20120925T140200000,PP4
20120925T142400000,PP4,20120925T140300000,PP4
20120925T142500000,PP4,20120925T140400000,PP4
20120925T142600000,PP4,20120925T141800000,PP4
20120925T142700000,PP4,20120925T141900000,PP4
20120925T142800000,PP4,20120925T142000000,PP4
20120925T142900000,PP4,20120925T142100000,PP4
20120925T143000000,PP4,20120925T142200000,PP4
20120925T143100000,PP4,20120925T142300000,PP4
20120925T143200000,PP4,20120925T142600000,PP4
20120925T143300000,PP4,20120925T142700000,PP4
20120925T143400000,PP4,20120925T142800000,PP4
20120925T143500000,PP4,20120925T142900000,PP4
20120925T143600000,PP4,20120925T143000000,PP4
20120925T143700000,PP4,20120925T143100000,PP4
20120925T143800000,PP4,20120925T143200000,PP4
20120925T143900000,PP4,20120925T143300000,PP4
20120925T144000000,PP4,20120925T143400000,PP4
20120925T144100000,PP4,20120925T143500000,PP4
20120925T144200000,PP4,20120925T143600000,PP4
20120925T144300000,PP4,20120925T143700000,PP4
20120925T144400000,PP4,20120925T143800000,PP4
20120925T144500000,PP4,20120925T143900000,PP4
20120925T144600000,PP4,20120925T144000000,PP4
20120925T144700000,PP4,20120925T144100000,PP4
20120925T144800000,PP4,20120925T144200000,PP4
20120925T144900000,PP4,20120925T144300000,PP4
20120925T145000000,PP4,20120925T144400000,PP4
20120925T145100000,PP4,20120925T144500000,PP4
20120925T145200000,PP4,20120925T144600000,PP4
20120925T145300000,PP4,20120925T144700000,PP4
20120925T145400000,PP4,20120925T144800000,PP4
20120925T145500000,PP4,20120925T144900000,PP4
20120925T145600000,PP4,20120925T145000000,PP4
20120925T145700000,PP4,20120925T145100000,PP4
20120925T145800000,PP4,20120925T145200000,PP4
20120925T145900000,PP4,20120925T145300000,PP4
20120925T150000000,PP4,20120925T145400000,PP4
20120925T150100000,PP4,20120925T145500000,PP4
20120925T150200000,PP4,20120925T145600000,PP4
20120925T150300000,PP4,20120925T145700000,PP4
20120925T150400000,PP4,20120925T145800000,PP4
20120925T150500000,PP4,20120925T145900000,PP4
20120925T150600000,PP4,20120925T150000000,PP4
20120925T150700000,PP4,20120925T150100000,PP4
20120925T150800000,PP4,20120925T150200000,PP4
20120925T150900000,PP4,20120925T150300000,PP4
20120925T151000000,PP4,20120925T150400000,PP4
20120925T152100000,PP4,20120925T150500000,PP4
20120925T152400000,PP4,20120925T150600000,PP4
20120925T152500000,PP4,20120925T150700000,PP4
20120925T152600000,PP4,20120925T152300000,PP4
20120925T152700000,PP4,20120925T152400000,PP4
20120925T152800000,PP4,20120925T152500000,PP4
20120925T152900000,PP4,20120925T152600000,PP4
20120925T153000000,PP4,20120925T152700000,PP4
20120925T153100000,PP4,20120925T152800000,PP4
20120925T153200000,PP4,20120925T153300000,PP4
20120925T153300000,PP4,20120925T153400000,PP4
20120925T153400000,PP4,20120925T153500000,PP4
20120925T153500000,PP4,20120925T153600000,PP4
20120925T153600000,PP4,20120925T153700000,PP4
20120925T153700000,PP4,20120925T153800000,PP4
20120925T153800000,PP4,20120925T153900000,PP4
20120925T153900000,PP4,20120925T154000000,PP4
20120925T154000000,PP4,20120925T154100000,PP4
20120925T154100000,PP4,20120925T154200000,PP4
20120925T154200000,PP4,20120925T154300000,PP4
20120925T154300000,PP4,20120925T154400000,PP4
20120925T154400000,PP4,20120925T154500000,PP4
20120925T154500000,PP4,20120925T154600000,PP4
20120925T154600000,PP4,20120925T154700000,PP4
20120925T154700000,PP4,20120925T154800000,PP4
20120925T154800000,PP4,20120925T154900000,PP4
20120925T154900000,PP4,20120925T155000000,PP4
20120925T155000000,PP4,20120925T155100000,PP4
20120925T155100000,PP4,20120925T155200000,PP4
20120925T155200000,PP4,20120925T155300000,PP4
20120925T155300000,PP4,20120925T155400000,PP4
20120925T155400000,PP4,20120925T155500000,PP4
20120925T155500000,PP4,20120925T155600000,PP4
20120925T155600000,PP4,20120925T155700000,PP4
20120925T155700000,PP4,20120925T155800000,PP4
20120925T155800000,PP4,20120925T155900000,PP4
20120925T155900000,PP4,20120926T092700000,PP5
20120925T160000000,PP4,20120926T092800000,PP5
20120925T160100000,PP4,20120926T092900000,PP5
20120925T160200000,PP4,20120926T093000000,PP5
20120926T092500000,PP5,20120926T093100000,PP5
20120926T092600000,PP5,20120926T093200000,PP5
20120926T092700000,PP5,20120926T093700000,PP5
20120926T092800000,PP5,20120926T093800000,PP5
20120926T092900000,PP5,20120926T093900000,PP5
20120926T093000000,PP5,20120926T094000000,PP5
20120926T093100000,PP5,20120926T094100000,PP5
20120926T093200000,PP5,20120926T094200000,PP5
20120926T093300000,PP5,20120926T094300000,PP5
20120926T093400000,PP5,20120926T094400000,PP5
20120926T093500000,PP5,20120926T094500000,PP5
20120926T093600000,PP5,20120926T094600000,PP5
20120926T093700000,PP5,20120926T094700000,PP5
20120926T093800000,PP5,20120926T094800000,PP5
20120926T093900000,PP5,20120926T094900000,PP5
20120926T094000000,PP5,20120926T095000000,PP5
20120926T094100000,PP5,20120926T095100000,PP5
20120926T094200000,PP5,20120926T095200000,PP5
20120926T094300000,PP5,20120926T095300000,PP5
20120926T094400000,PP5,20120926T095400000,PP5
20120926T094500000,PP5,20120926T095500000,PP5
20120926T094600000,PP5,20120926T095600000,PP5
20120926T094700000,PP5,20120926T095700000,PP5
20120926T094800000,PP5,20120926T095800000,PP5
20120926T094900000,PP5,20120926T095900000,PP5
20120926T095000000,PP5,20120926T100000000,PP5
20120926T095100000,PP5,20120926T100100000,PP5
20120926T095200000,PP5,20120926T100200000,PP5
20120926T095300000,PP5,20120926T100300000,PP5
20120926T095400000,PP5,20120926T100400000,PP5
20120926T095500000,PP5,20120926T100500000,PP5
20120926T095600000,PP5,20120926T100600000,PP5
20120926T095700000,PP5,20120926T100700000,PP5
20120926T095800000,PP5,20120926T100800000,PP5
20120926T095900000,PP5,20120926T100900000,PP5
20120926T100000000,PP5,20120926T101000000,PP5
20120926T100100000,PP5,20120926T101100000,PP5
20120926T100200000,PP5,20120926T101200000,PP5
20120926T100300000,PP5,20120926T101300000,PP5
20120926T100400000,PP5,20120926T101400000,PP5
20120926T100500000,PP5,20120926T101500000,PP5
20120926T100600000,PP5,20120926T101600000,PP5
20120926T100700000,PP5,20120926T103100000,PP5
20120926T100800000,PP5,20120926T103200000,PP5
20120926T100900000,PP5,20120926T103300000,PP5
20120926T101000000,PP5,20120926T103400000,PP5
20120926T101100000,PP5,20120926T103500000,PP5
20120926T101200000,PP5,20120926T103600000,PP5
20120926T101300000,PP5,20120926T103900000,PP5
20120926T101400000,PP5,20120926T104000000,PP5
20120926T101500000,PP5,20120926T104100000,PP5
20120926T101600000,PP5,20120926T104200000,PP5
20120926T101700000,PP5,20120926T104300000,PP5
20120926T101800000,PP5,20120926T104400000,PP5
20120926T102900000,PP5,20120926T104500000,PP5
20120926T103000000,PP5,20120926T104600000,PP5
20120926T103100000,PP5,20120926T104700000,PP5
20120926T103200000,PP5,20120926T104800000,PP5
20120926T103300000,PP5,20120926T104900000,PP5
20120926T103400000,PP5,20120926T105000000,PP5
20120926T103500000,PP5,20120926T105100000,PP5
20120926T103600000,PP5,20120926T105200000,PP5
20120926T103700000,PP5,20120926T105300000,PP5
20120926T103800000,PP5,20120926T105400000,PP5
20120926T103900000,PP5,20120926T105500000,PP5
20120926T104000000,PP5,20120926T105600000,PP5
20120926T104100000,PP5,20120926T105700000,PP5
20120926T104200000,PP5,20120926T105800000,PP5
20120926T104300000,PP5,20120926T105900000,PP5
20120926T104400000,PP5,20120926T110000000,PP5
20120926T104500000,PP5,20120926T110100000,PP5
