PP,C,timestamp,Squality,Sneutral,Shappy,Ssad,Sangry,Ssurprised,Sscared,Sdisgusted,Svalence,SyHeadOrientation,SxHeadOrientation,SzHeadOrientation,SmouthOpen,SleftEyeClosed,SrightEyeClosed,SleftEyebrowLowered,SleftEyebrowRaised,SrightEyebrowLowered,SrightEyebrowRaised,SgazeDirectionForward,SgazeDirectionLeft,SgazeDirectionRight,SAu01_InnerBrowRaiser,SAu02_OuterBrowRaiser,SAu04_BrowLowerer,SAu05_UpperLidRaiser,SAu06_CheekRaiser,SAu07_LidTightener,SAu09_NoseWrinkler,SAu10_UpperLipRaiser,SAu12_LipCornerPuller,SAu14_Dimpler,SAu15_LipCornerDepressor,SAu17_ChinRaiser,SAu20_LipStretcher,SAu23_LipTightener,SAu24_LipPressor,SAu25_LipsPart,SAu26_JawDrop,SAu27_MouthStretch,SAu43_EyesClosed
PP1,1,20120918T132400000,0900012014,0735067375,0066542771,003048396,0002468386,0008200296,0008417662,0003580567,0034302429,-2,5,-4,0098039216,0098039216,0176470588,0117647059,0,0019607843,0098039216,0352941176,0019607843,037254902,0,0,0,0960784314,0,0,0509803922,0764705882,0294117647,0019607843,0,0,0,0,0,0176470588,0,0,0294117647
PP1,1,20120918T132700000,0904466718,0889370978,0057581071,002911709,0016378925,0001627075,253E-04,585E-04,0017912695,-6,-2,2,0,0131578947,0175438596,0807017544,0,0473684211,0,0833333333,0026315789,0035087719,0,0,0850877193,000877193,0,000877193,0350877193,0096491228,0043859649,0149122807,0245614035,0254385965,0,0,0,0,0,0,035087719
PP1,1,20120918T132800000,0920909566,0879852085,0062577393,0009506273,0009014366,0001916755,672E-04,198E-04,0045847057,-6,-4,4,0,0075313808,0075313808,0824267782,0012552301,0271966527,0,0916317992,0012552301,0025104603,0,0,0125523013,0016736402,0012552301,0,0029288703,009623431,0179916318,0058577406,0,0,0,00041841,0,0,0,0,033472803
PP1,1,20120918T132900000,0923511638,0913070394,0033472498,0010112048,0006384674,0002736679,648E-04,0001037298,0019677859,-6,-2,1,0,02625,00625,0845833333,0,0529166667,0008333333,0941666667,0008333333,0020833333,0,0354166667,06875,0004166667,0004166667,0,0045833333,0008333333,0,0004166667,0008333333,0,0,0,0,0,0,0,0125
PP1,1,20120918T133000000,0903377346,0802017781,0077507431,0035483846,0005504931,0002529925,981E-04,0001650341,004110093,0113498918,-2,1,0049107143,0263392857,0330357143,0736607143,0,0272321429,0022321429,0758928571,0049107143,0116071429,0,00625,0816964286,0035714286,0058035714,0,0116071429,0147321429,0517857143,0151785714,0,0,0,0,0,0107142857,0,0,0401785714
PP1,1,20120918T133100000,0925266375,0865314021,006599996,0011718608,0005350949,000588201,806E-04,258E-04,0052019688,-2,-4,2,0,0017094017,0072649573,0572649573,0115384615,0282051282,0,0739316239,0170940171,0038461538,0,0115384615,0217948718,0341880342,0,0,0021367521,0055555556,0051282051,0102564103,0,0,0,0038461538,0004273504,0,0,0,034188034
PP1,1,20120918T133200000,0917356531,0866958482,006383349,0015285553,0008447883,0014175527,547E-04,794E-04,0043805586,-6,-6,1,0,0116666667,015,0341666667,0283333333,0358333333,0025,0816666667,0120833333,0008333333,0020833333,0058333333,0279166667,03875,0008333333,0,005,0075,0095833333,0008333333,0,0,0,0,0,0,0,0,0233333333
PP1,1,20120918T133300000,0910777588,0865072467,007354101,0006360864,0008635523,0003665024,227E-04,182E-04,0062905263,-7,-8,3,0,0138075314,010041841,0347280335,039748954,0267782427,0,069874477,0251046025,0012552301,0,0058577406,0087866109,0020920502,0029288703,0,0,0062761506,0,0071129707,0,0125523013,0,0217573222,00041841,0,0,0,0179916318
PP1,1,20120918T133400000,0928929867,0898195201,0051223008,0020693433,0003406714,0003294569,782E-04,341E-04,0028353545,-2,-4,1,0,0103896104,0103896104,0670995671,0173160173,0212121212,0,087012987,0051948052,0043290043,0,0025974026,0346320346,0277056277,0,0,0,0203463203,0,0346320346,0,0,0,0,0,0,0,0,051948052
PP1,1,20120918T133500000,093297651,0955401268,0028104528,0025092801,0002615733,000368586,286E-04,763E-04,0002881733,2,-5,0801751371,0,0029535865,0071729958,0734177215,0016877637,0308016878,0,0894514768,0012658228,0037974684,0016877637,0101265823,0396624473,0025316456,0,0,0046413502,0253164557,0,0502109705,0,0,0,0,0025316456,0,0,0,0253164557
PP1,1,20120918T133600000,0933144907,0959974168,00222162,0019781096,0002661633,0005598571,258E-04,861E-04,0001828913,0167333973,-6,1,0,00375,0033333333,05625,0008333333,02375,0,09125,00375,0004166667,0,0333333333,03625,0083333333,0,0,0020833333,0254166667,0016666667,0325,0,0,0,0,0,0,0,0,0133333333
PP1,1,20120918T133700000,092195731,0952582858,0024442571,0015342117,0005157158,0003092999,273E-04,0002091294,0007382149,-1,-7,2,0,0008547009,0064102564,0427350427,0047008547,0405982906,0,0901709402,0042735043,0,0,0256410256,0666666667,0021367521,0,0,0153846154,0465811966,008974359,0213675214,0,0,0,0,0,0,0,0,02991453
PP1,1,20120918T133800000,09190099,0872516992,0055439536,0011793255,0001761039,0004518012,632E-04,804E-04,0043485066,-2,-5,0225599468,0,0083333333,0108333333,0629166667,0,0170833333,0,0933333333,0033333333,0008333333,0,0166666667,0258333333,0208333333,0,0,0041666667,0475,0,0183333333,0,0,0,0,0,0,0,0,054166667
PP1,1,20120918T133900000,0902956146,0913238834,0060777082,0013854851,0005616939,0005032632,298E-04,975E-04,0045469784,-7,-7,2,0,0288702929,0326359833,050209205,0037656904,0292887029,0,0853556485,0075313808,0008368201,0,0322175732,0426778243,0033472803,00041841,0,0062761506,0430962343,0029288703,0092050209,0,0,0,0,0,0,0,0,0523012552
PP1,1,20120918T134000000,0886240953,0907437089,004319619,0015269316,0006715594,0003932552,339E-04,864E-04,0025869066,-12,-6,2,0,05875,0583333333,0691666667,0,0233333333,0,0875,0108333333,0,0,0183333333,01,0091666667,0,0,0004166667,0154166667,0,0145833333,0,0,0,0,0,0,0,0,03125
PP1,1,20120918T134100000,0899885478,0953284126,0017113363,0009164371,0007811426,0002761263,288E-04,970E-04,0002931453,-7,-7,1,0,0020833333,0016666667,0729166667,0,0279166667,0,09125,0058333333,0,0,0133333333,0325,0170833333,0,0,00375,02,0008333333,0066666667,0,0,0,0,0,0,0,0,04166667
PP1,1,20120918T134200000,0901095102,0854864137,0050631541,0008444626,0003573274,0035196189,383E-04,492E-04,004063925,-5,-7,2,0004201681,0130252101,0222689076,0289915966,0084033613,0201680672,0016806723,0840336134,0109243697,0,0,018487395,0096638655,0264705882,0029411765,0,0033613445,0088235294,0,0172268908,0,0008403361,0,0,0,0008403361,0,0,0457983193
PP1,1,20120918T134300000,0888232981,0845416845,002496656,000317989,0004498483,0008983432,632E-04,196E-04,0018655376,-6,-5,1,0,0,00125,0204166667,0041666667,005,0,0708333333,01625,0116666667,0,0045833333,0133333333,0820833333,0,0,0016666667,0,0,0016666667,0,0,0,0,0,0,0,0,0
PP1,1,20120918T134400000,0893312958,0905440592,0027863605,0008494677,0007027439,0003428578,448E-04,381E-04,001354986,-7,-7,4,0,0079166667,0029166667,0333333333,0304166667,02,0,0704166667,0283333333,0,0,0191666667,01375,0066666667,0,0,0216666667,0125,0,0058333333,005,0,0,0,0,0,0,0,04166667
PP1,1,20120918T134500000,0916954659,0920366955,0026298088,0017760236,0004007965,0004381475,862E-04,0002047948,0006653356,-4,-5,2,0,0188284519,0062761506,0866108787,0,0175732218,0,090376569,0054393305,0,0,0556485356,0259414226,0008368201,0,0,0092050209,0280334728,0,0066945607,0,0,0,0,0,0,0,0,016736402
PP1,1,20120918T134600000,0900536964,0902606617,0021532963,0018360164,0007410255,0002886939,467E-04,0001979743,-0001304935,-5,-6,3,0,0025,0033333333,07375,01375,0245833333,0,0845833333,0129166667,0008333333,0,0133333333,0420833333,0054166667,0,0,0008333333,0258333333,0,01,0,0,0,0,0,0,0,0,020833333
PP1,1,20120918T134700000,0912303348,088077868,0013543707,00188703,001607357,0002183101,376E-04,0002322358,-0014259036,-1,-6,1,0,0091666667,00625,0945833333,0,0545833333,0,0908333333,005,00125,0,0108333333,0770833333,00125,0,0,0158333333,0445833333,0,03875,0,0,0,0,0,0,0,0,0125
PP1,1,20120918T134800000,0913245045,0886362508,0060793579,0004345553,0022886507,000468926,600E-04,511E-04,0036009869,-8,-7,3,0,0225,0258333333,0608333333,0004166667,0216666667,0,08125,0116666667,0,0,0004166667,0595833333,0195833333,0020833333,0,0016666667,0145833333,0,0133333333,0004166667,0,0,0025,0,0,0,0,0525
PP1,1,20120918T134900000,0902109428,092765855,0026520594,0005920208,0048402069,0002037473,220E-04,995E-04,-0023555209,-6,-7,3,0,010212766,0076595745,0940425532,0,0608510638,0,089787234,0046808511,0004255319,0,0034042553,1,0,0,0,0038297872,0136170213,0,0110638298,0,0,0,0,0,0,0,0,025531915
PP1,1,20120918T135000000,0912044023,0917911236,0012772862,0023053757,003086434,0001375884,518E-04,0007772502,-0032715523,-2,-6,1,0,0033472803,00041841,0866108787,0,0594142259,0,0891213389,0071129707,0,0,0020920502,2,0,0,0,019665272,0744769874,0,0292887029,0,0,0,0,0,0,0,0,041841
PP1,1,20120918T135100000,0913471692,0943330446,0027025129,0014741223,0029082769,000150381,253E-04,000662832,-0013216545,-2,-6,1,0,0125,0166666667,0929166667,0,0770833333,0,09375,0008333333,0008333333,0,0029166667,18,0,0,0,07125,1,0,0216666667,0,0004166667,0,0,0,0,0,0,079166667
PP1,1,20120918T135200000,0930500317,0905162279,0016461541,0034123332,0008001748,0002339136,0001286996,0008867498,-0021775655,4,-6,3,0,0008403361,0,0844537815,0012605042,0621848739,0,0932773109,0008403361,0004201681,0,0004201681,1,0012605042,0,0,0201680672,2,0,0453781513,0,0,0,0,0,0,0,0,016806723
PP1,1,20120918T135300000,0927302678,094583464,001425659,0011717187,0008349311,00047031,639E-04,0004328421,-0003479415,-0784609346,-5,2,0,0008333333,0004166667,0891666667,0,06,0,095,0,00125,0,0241666667,07625,01125,0,0,0408333333,0975,00125,0320833333,0,0004166667,0,0,0,0,0,0,020833333
PP1,1,20120918T135400000,0926949085,0942788838,0018071592,0017675612,0004223149,0009564599,553E-04,0002283757,-799E-04,0637304875,-6,2,0012875536,0034334764,0012875536,0630901288,0025751073,0313304721,0,0892703863,0025751073,0008583691,0,030472103,0244635193,0017167382,0,0,025751073,0759656652,0008583691,0193133047,0,0,0,0,0,0025751073,0,0,051502146
PP1,1,20120918T135500000,0915064213,0853207671,0020856797,004038511,0002886181,0014656358,963E-04,0001898248,-002009702,1,-3,-0971982544,0,0089686099,0134529148,0587443946,0,0278026906,0053811659,0932735426,001793722,0,0,0134529148,0569506726,0578475336,0004484305,0,001793722,0739910314,002690583,0825112108,0,0,0,0004484305,0,0,0,0,076233184
PP1,1,20120918T135600000,090921472,0894230908,0024942927,0010304243,0010194417,0003926346,932E-04,303E-04,0007229636,-5,-5,2,0,0089285714,0044642857,0758928571,0,0419642857,0,0915178571,0004464286,0022321429,0,003125,05,003125,0,0004464286,0049107143,003125,0075892857,0084821429,0,0,0,0004464286,0,0,0,0,022321429
PP1,1,20120918T135700000,0899179119,0669893261,0278053367,0020190248,000169441,000167459,000152574,0001183729,0256194688,-5,-1,-2,0165137615,0206422018,0160550459,045412844,0,0,0013761468,0798165138,0,0146788991,0,002293578,0,0151376147,0123853211,0,0027522936,0380733945,0518348624,0298165138,0,0,0,0,0,0564220183,0,0,050458716
PP1,1,20120918T135800000,0917889797,0888867884,0044411601,0009393521,0003972626,0008977025,628E-04,427E-04,0032371722,-5,-3,2,0,0133891213,0092050209,0292887029,0,0108786611,0041841004,0941422594,0025104603,0,0,0,0121338912,0677824268,0,0,0188284519,0083682008,0,0225941423,0012552301,0,0,0,0,0,0,0,0117154812
PP1,1,20120918T135900000,0926403672,097018852,0014802438,0017629973,000401948,0006495784,207E-04,693E-04,-0004750857,0515234311,-4,1,0004166667,0066666667,0020833333,055,0,0275,0,0866666667,0004166667,0008333333,0,01625,02875,0125,0,0,01125,0070833333,0,035,0,00125,0,0,0,0004166667,0,0,0
PP1,1,20120918T140000000,0921082248,0885526022,004434154,0025090585,0001875247,0009136272,674E-04,0001051752,0018975126,5,-5,3,0021645022,0056277056,0069264069,0307359307,0038961039,0199134199,0,0844155844,0034632035,0025974026,0,0203463203,0207792208,0060606061,0008658009,0,0138528139,0593073593,0125541126,0246753247,0012987013,0025974026,0,0,0025974026,0038961039,0,0,0116883117
PP1,1,20120918T140100000,0923577627,0949813472,0032003957,0019937292,0001480294,0007871043,240E-04,850E-04,0011903777,4,-5,5,0,0023255814,0176744186,0395348837,0,0269767442,0,0920930233,0013953488,0004651163,0,0474418605,0297674419,0106976744,0004651163,0,0079069767,0655813953,0,0441860465,0023255814,0,0,0013953488,0,0,0,0,097674419
PP1,1,20120918T140200000,0922021862,0969778584,0027259979,0015711189,0001671169,0002109428,167E-04,0001953052,0011399116,4,-3,3,0,0046413502,0257383966,0514767932,0004219409,0151898734,0,0932489451,0012658228,0008438819,0,0126582278,0206751055,0,0,0,0282700422,076371308,0,0160337553,0,0,0,0,0,0,0,0,0202531646
PP1,1,20120918T140300000,0915397308,0828083675,0032665773,0033082593,0002383869,0019318062,0001690222,0002498782,-000107599,2,-3,2,0,0086580087,0199134199,045021645,0086580087,0229437229,0056277056,0948051948,0,0,0034632035,0220779221,0285714286,0536796537,0051948052,0,0415584416,1,0034632035,0506493506,0008658009,0004329004,0,0,0,0,0,0,0164502165
PP1,1,20120918T140400000,091666079,0937730175,0029789146,0004900691,0003674214,000450786,912E-04,425E-04,0022454103,-3,-7,2,0,01375,0066666667,0491666667,00125,0116666667,0,095,0025,0004166667,0,0029166667,00375,0304166667,0041666667,0,0016666667,0208333333,0033333333,0120833333,0,0,0,0,0,0,0,0,01125
PP1,1,20120918T140500000,0927393007,0934204786,0016861853,003793302,0003734938,000177917,000115932,0002510734,-0021409247,4,-6,3,0,0004166667,0070833333,07125,0,0329166667,0,0945833333,0008333333,0,0,00125,0608333333,0045833333,0029166667,0,0204166667,1,0,035,0,0,0,0,0,0,0,0,020833333
PP1,1,20120918T140600000,0887861607,0885075858,0028657458,0042330875,0007423454,0002494704,557E-04,0013949665,-0014762518,-2,-8,2,0004694836,0037558685,0122065728,0502347418,0009389671,0183098592,0004694836,0882629108,0061032864,0,0037558685,0,0488262911,0,0,0,0,0591549296,0014084507,0122065728,0,0,0,0,0,0004694836,0,0,075117371
PP1,1,20120918T140700000,0920285802,0961352367,0013652221,0015432678,0003701877,0001233223,0001418548,0002084158,-0002473069,0882111845,-9,3,0,0,0079497908,050209205,0016736402,0430962343,0,0920502092,0062761506,0,0,0016736402,030125523,0012552301,0,0,0117154812,2,0033472803,0338912134,0,0,0,0,0,0,0,0,08368201
PP1,1,20120918T140800000,0894906824,0882724368,0034646015,0018020308,000518016,0011038569,000124051,0001059344,0014328489,-2,-8,4,0,0216666667,0358333333,0454166667,03,0275,0,0945833333,0025,0,0,0016666667,0245833333,0179166667,0,0,0191666667,1,0025,0266666667,0,0,0,0,0,0,0,0,09125
PP1,1,20120918T140900000,0927076844,0879175288,0023903456,002038848,0007549345,0003458242,0001857135,0002818827,-437E-04,1,-6,0053921111,0017241379,0056034483,0047413793,0655172414,0,0211206897,0,0956896552,0004310345,0004310345,0,0,049137931,0379310345,0,0,0181034483,0788793103,0112068966,0030172414,0,0,0,0,0,0030172414,0,0,021551724
PP1,1,20120918T141000000,0936616465,0921910955,0009765404,0066840081,0002931338,0001536536,0003881083,0008854381,-005918598,8,-7,2,0,0,0070833333,0775,0,0408333333,0,0966666667,0,0,0,00125,0604166667,01,0,0,0179166667,2,0,0575,0,0,0,0,0,0,0,0,04166667
PP1,1,20120918T141100000,0887900766,0565984671,0349747512,0010505609,0002441505,0004171262,0001833157,000629482,0333182069,-5,-5,0747627345,0233480176,0136563877,0114537445,0237885463,0074889868,0057268722,0114537445,0806167401,0026431718,0013215859,0026431718,0008810573,0083700441,0237885463,0251101322,0,0202643172,0977973568,0220264317,0092511013,0,0154185022,0030837004,0008810573,0,0784140969,0,0,0220264317
PP1,1,20120918T141200000,0892650415,0682678479,0125771163,0014665325,000345466,0003615737,0001426506,0002270676,0108762702,-8,-3,3,0039772727,0011363636,0028409091,0034090909,0267045455,0051136364,0005681818,0846590909,0017045455,0051136364,00625,00625,0107954545,01875,0,0,0409090909,0846590909,0068181818,0119318182,0,0534090909,0022727273,0005681818,0,0090909091,0,0068181818,0625
PP1,2,20120918T142600000,0875439606,055570845,0322440091,0011955365,000253974,0005221956,0001148229,0005405286,0306561951,-1507773196,3419452472,-3597602443,0131147541,0043715847,0016393443,0,0224043716,0136612022,0087431694,0573770492,0,0267759563,0,0,0,0535519126,0464480874,0,0114754098,0568306011,0087431694,0049180328,0,0278688525,0,0092896175,0027322404,0224043716,0,0,021857923
PP1,2,20120918T142700000,0920335235,0430191836,0357041568,0008774117,940E-04,0012508707,0083903318,0003042138,0272648537,-6632048451,0313666184,3363411139,0422619048,0035714286,0023809524,0,0041666667,006547619,0017857143,0738095238,0041666667,0101190476,0,0,0,0702380952,0136904762,0,0023809524,1869047619,0023809524,044047619,0,005952381,0,0,0,1261904762,0,0,023809524
PP1,2,20120918T142800000,0906190355,0834903242,0050315553,306E-04,0010375049,0003029159,0001142737,171E-04,0039931871,-1473764699,-4575735767,0411223892,0,0029166667,0004166667,0,0025,0,0,0958333333,00125,0004166667,0,0,0,0529166667,0,0,0004166667,0270833333,0,0004166667,0,0,0,0,0,0,0,0,0
PP1,2,20120918T142900000,0912269843,0615332982,0042638513,170E-04,0008947897,0010034557,000117479,148E-04,0033690616,-1152334917,-4513128494,3373900803,0,0016736402,0,0,0,0,0,0983263598,0,0,0,0,0,1288702929,0,0,0230125523,0025104603,0,0,00041841,0,0,0,0,0,0,0,0
PP1,2,20120918T143000000,0917577456,0898918853,0060259095,421E-04,0014692189,0001421346,587E-04,202E-04,0045562825,-1304148667,-4984813146,3778308567,0,0020833333,0016666667,0,0,0,0,09625,0,0004166667,0,0,0,0,0,0,0029166667,0333333333,0,0,0,0,0,0,0,0,0,0,0
PP1,2,20120918T143100000,091428921,0896708099,0075377087,0002093054,0011940604,0002034573,0001715335,289E-04,0061528036,-1219314409,-4664892208,3306310128,0,0108333333,0054166667,0,0141666667,0,0004166667,0979166667,0,00125,00125,0,0,0016666667,0,0,0175,0841666667,0,00375,0,0,0,0,0016666667,0,0,0,0
PP1,2,20120918T143200000,0917698762,0824369744,0064240066,408E-04,001176175,0002744284,313E-04,172E-04,0052478317,-1208369182,-4341464213,2882017411,0,0,0,0,0062761506,0,0,0983263598,0,0,0,0,0,0029288703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,2,20120918T143300000,0893736932,0883340178,0070311206,577E-04,0015622919,000236104,194E-04,220E-04,0054688287,-1405433279,-5901703754,8210308058,0,0545833333,05125,0,0029166667,0,0,0991666667,0,0,0,0,0,0,0,0,0,0770833333,0,0,0,0,0,0,0,0,0,0,08333333
PP1,2,20120918T143400000,090691659,0842646175,00722258,0007551765,0010717144,0001438663,0002882083,579E-04,005394525,-119676176,-5707734349,-5730258213,0,0179166667,0204166667,0045833333,0066666667,005,00125,0945833333,0,0025,0,0,0,0095833333,0,0,0154166667,0866666667,0,0,0,0079166667,0,0016666667,0,0,0,0,0
PP1,2,20120918T143500000,0882298249,0581565962,0370611245,0004313626,0002591623,0005912149,0025220962,000674588,0336286217,-5375804466,-4341390058,-3893523339,0434285714,0331428571,0091428571,0057142857,0017142857,0091428571,0051428571,0308571429,0097142857,0302857143,0,0,0,0114285714,0211428571,0,0262857143,1531428571,0497142857,0188571429,0,0011428571,0005714286,0051428571,0005714286,1268571429,0,0022857143,0148571429
PP1,2,20120918T143600000,0912134938,0661037858,0101934449,0013876863,0046792803,0008881148,0002838883,592E-04,0045870447,1163356992,-3270484369,1725227664,0034825871,0223880597,0069651741,02039801,0,0134328358,0024875622,0895522388,0034825871,0009950249,0,0,0412935323,039800995,0039800995,0,007960199,0582089552,0298507463,0253731343,0,0,0,0,0,0054726368,0,0,059701493
PP1,2,20120918T143700000,0942397213,0919369699,0023400054,0001097271,0004002574,001134942,0001019845,175E-04,0018932818,-4280590366,-4884915221,3515744561,0,0,0,0194805195,0242424242,00995671,0025974026,0952380952,0008658009,0004329004,0,0,0212121212,0800865801,0,0,0082251082,0051948052,0,0112554113,0025974026,0,0,0004329004,0,0,0,0,0
PP1,2,20120918T143800000,0929274227,08227052,003780599,000426653,0004808702,0014853114,0004720519,217E-04,002900128,-5469841389,-2759374371,2968646037,0125,0020833333,00125,035,0133333333,0091666667,0029166667,0941666667,0020833333,00125,0,00375,0,06625,0,0,0058333333,0095833333,0,00375,0004166667,0,0,0,0,0266666667,0,0,020833333
PP1,2,20120918T143900000,0940650406,0940751141,0024205144,0009932748,0003617383,000761045,763E-04,213E-04,0011987758,0833253666,-1778768507,1603025135,0,0004166667,0016666667,0666666667,0004166667,0333333333,0,0958333333,0,0008333333,0,00125,01,04125,0,0,0004166667,0104166667,0,00875,0,0,0,0,0,0,0,0,08333333
PP1,2,20120918T144000000,0930970743,0946627633,0030082413,0014141379,0003736601,0003622809,000145058,921E-04,0014153204,0743666869,-3853812003,2299696039,0,00041841,0012552301,0589958159,0,0158995816,0029288703,0953974895,0,0,0,0,0322175732,0338912134,0,0,0,0188284519,0,0083682008,0,0,0,0,0,0,0,0,058577406
PP1,2,20120918T144100000,0923400308,0856661657,0041489616,0024151216,0002037536,0013620682,0001425611,0001360884,0016515223,-1138630219,-2789758198,2363215123,0,00125,0108333333,0283333333,0004166667,0125,00875,0958333333,0,0,0,0,0216666667,0791666667,0,0,0020833333,0329166667,0,02625,0,0,0,0,0,0,0,0,083333333
PP1,2,20120918T144200000,090562849,0851547819,0042176685,0018284024,0018466833,0011343884,000104532,0002346556,0007336172,-0764256895,-1722416773,1750476262,0004385965,0114035088,0153508772,0346491228,0026315789,0179824561,0057017544,0938596491,0004385965,001754386,0,0,0442982456,048245614,0,0,0052631579,0469298246,0,0175438596,0,0,0,0,0,0004385965,0,0,0219298246
PP1,2,20120918T144300000,0916369685,0863981605,0056915611,0006795721,0003168998,0011653298,728E-04,190E-04,0049236377,-3298472779,-1221689321,1218029858,0,0122362869,0046413502,0320675105,005907173,0050632911,0215189873,0957805907,0008438819,0004219409,0,0,0088607595,0518987342,0,0,0,0,0,0025316456,0,0004219409,0,0004219409,0,0,0,0,075949367
PP1,2,20120918T144400000,091384256,0823165188,0089137033,0005385617,00022365,0007338185,0001445005,254E-04,0082495402,-0924074727,-2044959851,1126762113,0,0025316456,0012658228,0308016878,0,0109704641,0071729958,0924050633,0016877637,0021097046,0,0,0143459916,0675105485,0008438819,0,0,0312236287,0126582278,0012658228,0,0004219409,0,0,0,0,0,0,046413502
PP1,2,20120918T144500000,0917263428,0776370053,0071988711,674E-04,0002173161,0016306352,0002268884,790E-05,0069540626,-0826180518,-2838536253,0846572626,00041841,0,0,0146443515,0087866109,0,0142259414,0945606695,0033472803,00041841,0,0,0,1753138075,00041841,0,0008368201,0012552301,0066945607,0184100418,0029288703,0012552301,0,0050209205,0,00041841,0,0,0
PP1,2,20120918T144600000,0927847778,0790701514,0092934305,0008369789,0001188466,0017166312,0001782442,239E-04,0083754286,-3994959945,-3840381188,181069787,0008438819,0054852321,0054852321,0054852321,0029535865,0,0025316456,0924050633,0008438819,0012658228,0,0,0,1434599156,0,0,0042194093,0181434599,0012658228,0451476793,0,0109704641,0,0,0,0012658228,0,0,0194092827
